Merged Data for Selected Target Ranges

Target Range: 108.57 nm
Trial 29 - Forward: Error: 17.02 nm, Time: 0.30 sec
Trial 29 - Backward: Error: 3.50 nm, Time: 0.35 sec
Trial 30 - Forward: Error: -36.95 nm, Time: 0.60 sec
Trial 30 - Backward: Error: 22.05 nm, Time: 0.29 sec
Trial 31 - Forward: Error: 37.47 nm, Time: 0.59 sec
Trial 31 - Backward: Error: -36.13 nm, Time: 0.27 sec
Trial 32 - Forward: Error: 34.87 nm, Time: 0.60 sec
Trial 32 - Backward: Error: -6.90 nm, Time: 0.60 sec
Trial 33 - Forward: Error: 50.97 nm, Time: 0.77 sec
Trial 33 - Backward: Error: -80.51 nm, Time: 0.85 sec
Trial 34 - Forward: Error: 69.02 nm, Time: 0.82 sec
Trial 34 - Backward: Error: 5.66 nm, Time: 0.33 sec
Trial 35 - Forward: Error: 29.12 nm, Time: 0.57 sec
Trial 35 - Backward: Error: -30.85 nm, Time: 0.66 sec
Trial 36 - Forward: Error: 47.27 nm, Time: 0.27 sec
Trial 36 - Backward: Error: 37.97 nm, Time: 0.30 sec
Trial 37 - Forward: Error: 9.14 nm, Time: 0.61 sec
Trial 37 - Backward: Error: -59.76 nm, Time: 0.41 sec
Trial 38 - Forward: Error: 24.15 nm, Time: 0.90 sec
Trial 38 - Backward: Error: -36.87 nm, Time: 0.26 sec
Trial 39 - Forward: Error: 66.72 nm, Time: 0.91 sec
Trial 39 - Backward: Error: -48.89 nm, Time: 0.37 sec
Trial 40 - Forward: Error: 53.43 nm, Time: 0.59 sec
Trial 40 - Backward: Error: -11.57 nm, Time: 0.31 sec
Trial 41 - Forward: Error: -6.45 nm, Time: 0.63 sec
Trial 41 - Backward: Error: -47.79 nm, Time: 0.59 sec
Trial 42 - Forward: Error: 25.65 nm, Time: 0.30 sec
Trial 42 - Backward: Error: 10.65 nm, Time: 0.35 sec
Trial 43 - Forward: Error: 30.78 nm, Time: 0.58 sec
Trial 43 - Backward: Error: -20.86 nm, Time: 0.60 sec
Trial 44 - Forward: Error: 33.34 nm, Time: 0.42 sec
Trial 44 - Backward: Error: -33.01 nm, Time: 0.50 sec
Trial 45 - Forward: Error: 32.34 nm, Time: 0.36 sec
Trial 45 - Backward: Error: -23.01 nm, Time: 0.58 sec
Trial 46 - Forward: Error: 53.54 nm, Time: 0.59 sec
Trial 46 - Backward: Error: -158.38 nm, Time: 0.32 sec
Trial 47 - Forward: Error: 48.27 nm, Time: 0.61 sec
Trial 47 - Backward: Error: -30.50 nm, Time: 0.42 sec
Trial 48 - Forward: Error: 14.37 nm, Time: 0.51 sec
Trial 48 - Backward: Error: 36.31 nm, Time: 0.30 sec
Trial 49 - Forward: Error: 44.40 nm, Time: 0.31 sec
Trial 49 - Backward: Error: -61.54 nm, Time: 0.32 sec
Trial 50 - Forward: Error: 48.87 nm, Time: 1.02 sec
Trial 50 - Backward: Error: 14.01 nm, Time: 0.49 sec
Trial 51 - Forward: Error: 36.97 nm, Time: 0.38 sec
Trial 51 - Backward: Error: -68.70 nm, Time: 0.21 sec
Trial 52 - Forward: Error: 58.42 nm, Time: 0.64 sec
Trial 52 - Backward: Error: 28.10 nm, Time: 0.32 sec
Trial 53 - Forward: Error: 98.32 nm, Time: 0.32 sec
Trial 53 - Backward: Error: -84.88 nm, Time: 0.61 sec
Trial 54 - Forward: Error: 48.80 nm, Time: 0.41 sec
Trial 54 - Backward: Error: -30.56 nm, Time: 0.50 sec
Trial 55 - Forward: Error: 67.30 nm, Time: 0.36 sec
Trial 55 - Backward: Error: -30.68 nm, Time: 0.27 sec
Trial 56 - Forward: Error: 19.91 nm, Time: 0.63 sec
Trial 56 - Backward: Error: -44.77 nm, Time: 0.28 sec
Trial 57 - Forward: Error: 15.65 nm, Time: 0.29 sec
Trial 57 - Backward: Error: -41.60 nm, Time: 0.30 sec
Trial 58 - Forward: Error: 48.91 nm, Time: 0.31 sec
Trial 58 - Backward: Error: 35.21 nm, Time: 0.39 sec
Trial 59 - Forward: Error: 12.71 nm, Time: 0.53 sec
Trial 59 - Backward: Error: -33.30 nm, Time: 0.34 sec
